U123,2:00,12.12.2023,12.12.2023 2:00,12.12.2023 2:12,Volkov Viktor,I2342124,4556 827346
W123,3:00,13.12.2023,13.12.2023 3:00,13.12.2023 3:53,Valuret Gerbert,I2342125,4557 827346
A123,4:00,14.12.2023,14.12.2023 4:00,14.12.2023 4:17,Rusakov Jeduard Gordeevich,I2342126,4558 827346
S123,5:00,15.12.2023,15.12.2023 5:00,15.12.2023 5:50,Golubev Dmitrij Filippovich,I2342127,4559 827346
F123,6:00,16.12.2023,16.12.2023 6:00,16.12.2023 6:00,Vlasov Evdokim Kirillovich,I2342128,4560 827346
B123,7:00,17.12.2023,17.12.2023 7:00,17.12.2023 7:34,Larionov Ljubomir Valer'evich,I2342129,4561 827346
Y123,8:00,18.12.2023,18.12.2023 8:00,18.12.2023 8:00,Andreev Efrem Gelas'evich,I2342130,4562 827346
M123,9:00,19.12.2023,19.12.2023 9:00,19.12.2023 9:16,Lukin Avraam Fedorovich,I2342131,4563 827346
L123,10:00,11.12.2023,11.12.2023 10:00,11.12.2023 10:22,Filatov Kondratij Fedoseevich,I2342132,4564 827346
U124,11:00,12.12.2023,12.12.2023 2:00,12.12.2023 2:12,Baranov Lavr Vjacheslavovich,I2342133,4565 827346
W124,12:00,13.12.2023,13.12.2023 3:00,13.12.2023 3:53,Subbotin Avgust Viktorovich,I2342134,4566 827346
A124,13:00,14.12.2023,14.12.2023 4:00,14.12.2023 4:17,Vasil'ev Vladimir Antoninovich,I2342135,4567 827346
S124,14:00,15.12.2023,15.12.2023 5:00,15.12.2023 5:50,Gromov Pantelejmon Kuprijanovich,I2342136,4568 827346
F124,15:00,16.12.2023,16.12.2023 6:00,16.12.2023 6:00,Shherbakov Avvakuum Sozonovich,I2342137,4569 827346
B124,16:00,17.12.2023,17.12.2023 7:00,17.12.2023 7:34,Kulikov Nelli Kimovich,I2342138,4570 827346
Y124,17:00,18.12.2023,18.12.2023 8:00,18.12.2023 8:00,Voronov Donal'd Dmitrievich,I2342139,4571 827346
M124,18:00,19.12.2023,19.12.2023 9:00,19.12.2023 9:16,Galkin Nazarij Oskarovich,I2342140,4572 827346
L124,19:00,11.12.2023,11.12.2023 10:00,11.12.2023 10:22,Volkov Vladlen Stanislavovich,I2342141,4573 827346
